Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
UCO Bank,1564680,57608,1622288,34200.92,559347,(B) Regional Rural Bank,2018-07-11
Union Bank of India,1047482,356249,1403731,36713.11,758169,(B) Regional Rural Bank,2018-07-11
United Bank of India,8487749,106785,8594534,207670.52,6738518,(B) Regional Rural Bank,2018-07-11
Regional Rural Banks Sub Total,42634324,8890098,51524422,1378726.54,36903702,(B) Regional Rural Bank,2018-07-11
Axis Bank Ltd,128425,657455,785880,19744.94,693998,(C) Major Private Banks,2018-07-11
City Union Bank Ltd,9491,75733,85224,1478.23,83968,(C) Major Private Banks,2018-07-11
Federal Bank Ltd,400768,81151,481919,19832.27,423297,(C) Major Private Banks,2018-07-11
HDFC Bank Ltd,331975,1440413,1772388,85126.18,1771710,(C) Major Private Banks,2018-07-11
ICICI Bank Ltd,3482120,552445,4034565,21117.62,4034565,(C) Major Private Banks,2018-07-11
IndusInd Bank Ltd,41416,410821,452237,3119.71,425813,(C) Major Private Banks,2018-07-11
Jammu & Kashmir Bank Ltd,1341950,179197,1521147,60484.58,1205161,(C) Major Private Banks,2018-07-11
Karur Vysya Bank,26418,167658,194076,1709.34,190839,(C) Major Private Banks,2018-07-11
Kotak Mahindra Bank Ltd,106985,70786,177771,1974.43,130544,(C) Major Private Banks,2018-07-11
Lakshmi Vilas Bank Ltd,38742,99792,138534,1706.03,124377,(C) Major Private Banks,2018-07-11
RBL Bank Ltd,59787,35520,95307,205.51,94478,(C) Major Private Banks,2018-07-11
South Indian Bank Ltd,30535,179022,209557,4504.14,60465,(C) Major Private Banks,2018-07-11
Yes Bank Ltd,6748,5770,12518,240.97,12213,(C) Major Private Banks,2018-07-11
Major Private Banks Sub Total,6005360,3955763,9961123,221243.95,9251428,(C) Major Private Banks,2018-07-11
