Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Vijaya Bank,747440,511675,1259115,8357.24,1257443,(A) Public Sector Banks,2015-07-15
Public Sector Banks Sub Total,72362783,59831414,132194197,1569868.37,122485548,(A) Public Sector Banks,2015-07-15
Allahabad Bank,581342,130792,712134,5738.19,695258,(B) Regional Rural Bank,2015-07-15
Andhra Bank,140794,10257,151051,1046.11,142820,(B) Regional Rural Bank,2015-07-15
Bank of Baroda,2231310,651254,2882564,33240.99,2546682,(B) Regional Rural Bank,2015-07-15
Bank of India,1830915,612828,2443743,6661.06,2343219,(B) Regional Rural Bank,2015-07-15
Bank of Maharashtra,381865,68491,450356,6354.27,450356,(B) Regional Rural Bank,2015-07-15
Canara Bank,487336,337406,824742,21031.84,818097,(B) Regional Rural Bank,2015-07-15
Central Bank of India,3415626,618190,4033816,58849.39,3402811,(B) Regional Rural Bank,2015-07-15
Dena Bank,251219,15467,266686,2645.78,241124,(B) Regional Rural Bank,2015-07-15
Indian Bank,325030,69493,394523,2310.78,280087,(B) Regional Rural Bank,2015-07-15
Indian Overseas Bank,768757,9449,778206,8596.11,162568,(B) Regional Rural Bank,2015-07-15
Jammu & Kashmir Bank Ltd,62505,11728,74233,1715.26,0,(B) Regional Rural Bank,2015-07-15
Punjab & Sind Bank,13760,2495,16255,181.84,11511,(B) Regional Rural Bank,2015-07-15
Punjab National Bank,2371524,343528,2715052,41367.33,1235136,(B) Regional Rural Bank,2015-07-15
State Bank of Bikaner & Jaipur,1187185,28944,1216129,13776.67,865865,(B) Regional Rural Bank,2015-07-15
State Bank of Hyderabad,660083,80180,740263,12576.91,508374,(B) Regional Rural Bank,2015-07-15
State Bank of India,4786468,819312,5605780,49662.84,3158427,(B) Regional Rural Bank,2015-07-15
State Bank of Mysore,275303,82896,358199,1415.07,315150,(B) Regional Rural Bank,2015-07-15
State Bank of Patiala,43082,657,43739,772.49,36749,(B) Regional Rural Bank,2015-07-15
Syndicate Bank,1290205,356529,1646734,28787.73,1525799,(B) Regional Rural Bank,2015-07-15
UCO Bank,643216,19232,662448,3012.87,494761,(B) Regional Rural Bank,2015-07-15
Union Bank of India,467327,112336,579663,3466.93,557521,(B) Regional Rural Bank,2015-07-15
United Bank of India,3493051,62575,3555626,46165.23,2098906,(B) Regional Rural Bank,2015-07-15
Regional Rural Banks Sub Total,25707903,4444039,30151942,349375.67,21891221,(B) Regional Rural Bank,2015-07-15
Axis Bank Ltd,112086,393462,505548,4774.84,473311,(C) Major Private Banks,2015-07-15
City Union Bank Ltd,13946,62876,76822,907.48,59331,(C) Major Private Banks,2015-07-15
Federal Bank Ltd,239367,60935,300302,11000.79,287918,(C) Major Private Banks,2015-07-15
HDFC Bank Ltd,279244,1213163,1492407,51124.67,1491729,(C) Major Private Banks,2015-07-15
ICICI Bank Ltd,2065567,320346,2385913,17504.84,2336457,(C) Major Private Banks,2015-07-15
IndusInd Bank Ltd,19543,193768,213311,1009.23,211453,(C) Major Private Banks,2015-07-15
Jammu & Kashmir Bank Ltd,1093952,118001,1211953,19314.35,810055,(C) Major Private Banks,2015-07-15
Karur Vysya Bank,14736,107085,121821,658.72,115836,(C) Major Private Banks,2015-07-15
Kotak Mahindra Bank Ltd,84303,88132,172435,1083.61,111513,(C) Major Private Banks,2015-07-15
Lakshmi Vilas Bank Ltd,54333,128680,183013,962.32,48495,(C) Major Private Banks,2015-07-15
RBL Bank Ltd,59787,35520,95307,113.57,95307,(C) Major Private Banks,2015-07-15
South Indian Bank Ltd,17677,86968,104645,1041.26,48007,(C) Major Private Banks,2015-07-15
Yes Bank Ltd,7105,5407,12512,97.20,12324,(C) Major Private Banks,2015-07-15
Major Private Banks Sub Total,4061646,2814343,6875989,109592.88,6101736,(C) Major Private Banks,2015-07-15
