Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
State Bank of Mysore,281109,85321,366430,18763.05,316778,(B) Regional Rural Bank,2016-11-23
State Bank of Patiala,52233,672,52905,2555.73,36789,(B) Regional Rural Bank,2016-11-23
Syndicate Bank,2006797,481844,2488641,108127.74,2235304,(B) Regional Rural Bank,2016-11-23
UCO Bank,1255020,44542,1299562,32026.38,558643,(B) Regional Rural Bank,2016-11-23
Union Bank of India,699094,209547,908641,31575.24,748618,(B) Regional Rural Bank,2016-11-23
United Bank of India,6827697,99611,6927308,199204.57,2728502,(B) Regional Rural Bank,2016-11-23
Regional Rural Banks Sub Total,37604898,6107059,43711957,1350709.42,29464045,(B) Regional Rural Bank,2016-11-23
Axis Bank Ltd,109831,524342,634173,25218.07,562170,(C) Major Private Banks,2016-11-23
City Union Bank Ltd,15652,67909,83561,1706.59,76389,(C) Major Private Banks,2016-11-23
Federal Bank Ltd,389577,75421,464998,24911.79,419670,(C) Major Private Banks,2016-11-23
HDFC Bank Ltd,354640,1365675,1720315,104661.01,1719637,(C) Major Private Banks,2016-11-23
ICICI Bank Ltd,2822889,323080,3145969,24698.07,3085071,(C) Major Private Banks,2016-11-23
IndusInd Bank Ltd,42761,424428,467189,5066.42,453711,(C) Major Private Banks,2016-11-23
Jammu & Kashmir Bank Ltd,1157257,113488,1270745,63183.61,1133720,(C) Major Private Banks,2016-11-23
Karur Vysya Bank,22217,139869,162086,3100.28,147419,(C) Major Private Banks,2016-11-23
Kotak Mahindra Bank Ltd,109237,75275,184512,3414.71,113479,(C) Major Private Banks,2016-11-23
Lakshmi Vilas Bank Ltd,61403,107592,168995,2896.35,166913,(C) Major Private Banks,2016-11-23
RBL Bank Ltd,59787,35520,95307,207.97,95307,(C) Major Private Banks,2016-11-23
South Indian Bank Ltd,41308,166928,208236,6612.63,68111,(C) Major Private Banks,2016-11-23
Yes Bank Ltd,8003,6172,14175,280.05,12544,(C) Major Private Banks,2016-11-23
Major Private Banks Sub Total,5194562,3425699,8620261,265957.56,8054141,(C) Major Private Banks,2016-11-23
