Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Vijaya Bank,878526,641039,1519565,20279.25,1485530,(A) Public Sector Banks,2017-03-08
Public Sector Banks Sub Total,122701440,101591254,224292694,5003071.24,175281721,(A) Public Sector Banks,2017-03-08
Allahabad Bank,917937,169104,1087041,25107.21,768015,(B) Regional Rural Bank,2017-03-08
Andhra Bank,162262,16633,178895,2555.05,99764,(B) Regional Rural Bank,2017-03-08
Bank of Baroda,4084094,1175141,5259235,131568.06,4633243,(B) Regional Rural Bank,2017-03-08
Bank of India,2805881,914425,3720306,70378.79,3520827,(B) Regional Rural Bank,2017-03-08
Bank of Maharashtra,720871,132636,853507,23439.38,595520,(B) Regional Rural Bank,2017-03-08
Canara Bank,640821,438502,1079323,58840.74,1044135,(B) Regional Rural Bank,2017-03-08
Central Bank of India,3518236,675116,4193352,128690.19,3826964,(B) Regional Rural Bank,2017-03-08
Dena Bank,278437,11060,289497,14170.35,288934,(B) Regional Rural Bank,2017-03-08
Indian Bank,402084,101473,503557,8058.85,400411,(B) Regional Rural Bank,2017-03-08
Indian Overseas Bank,988156,9740,997896,24804.60,616138,(B) Regional Rural Bank,2017-03-08
Jammu & Kashmir Bank Ltd,85847,15234,101081,4717.02,18153,(B) Regional Rural Bank,2017-03-08
Punjab & Sind Bank,18068,704,18772,325.67,12110,(B) Regional Rural Bank,2017-03-08
Punjab National Bank,3078913,409638,3488551,109355.43,2840876,(B) Regional Rural Bank,2017-03-08
State Bank of Bikaner & Jaipur,2371064,55805,2426869,41590.80,1309179,(B) Regional Rural Bank,2017-03-08
State Bank of Hyderabad,900365,155888,1056253,29839.16,508374,(B) Regional Rural Bank,2017-03-08
State Bank of India,6770060,1296866,8066926,154561.06,3878560,(B) Regional Rural Bank,2017-03-08
State Bank of Mysore,291128,77155,368283,12228.54,309072,(B) Regional Rural Bank,2017-03-08
State Bank of Patiala,54687,672,55359,1865.00,48268,(B) Regional Rural Bank,2017-03-08
Syndicate Bank,2101366,498115,2599481,90868.67,2290574,(B) Regional Rural Bank,2017-03-08
UCO Bank,1364318,50548,1414866,26745.09,558643,(B) Regional Rural Bank,2017-03-08
Union Bank of India,864641,278107,1142748,27859.54,748967,(B) Regional Rural Bank,2017-03-08
United Bank of India,7423233,105656,7528889,176029.73,6493919,(B) Regional Rural Bank,2017-03-08
Regional Rural Banks Sub Total,39842469,6588218,46430687,1163598.92,34810646,(B) Regional Rural Bank,2017-03-08
Axis Bank Ltd,119533,572603,692136,19617.41,616473,(C) Major Private Banks,2017-03-08
City Union Bank Ltd,15740,68266,84006,1839.04,71385,(C) Major Private Banks,2017-03-08
Federal Bank Ltd,379881,79725,459606,19452.07,406796,(C) Major Private Banks,2017-03-08
HDFC Bank Ltd,325567,1406457,1732024,88555.74,1731346,(C) Major Private Banks,2017-03-08
ICICI Bank Ltd,2917734,354359,3272093,23816.20,3272090,(C) Major Private Banks,2017-03-08
IndusInd Bank Ltd,47510,476106,523616,3533.09,498418,(C) Major Private Banks,2017-03-08
Jammu & Kashmir Bank Ltd,1304029,133134,1437163,53956.75,1133720,(C) Major Private Banks,2017-03-08
Karur Vysya Bank,23076,148891,171967,2504.12,155361,(C) Major Private Banks,2017-03-08
Kotak Mahindra Bank Ltd,108180,72875,181055,2059.11,133388,(C) Major Private Banks,2017-03-08
Lakshmi Vilas Bank Ltd,48249,88895,137144,1574.47,172305,(C) Major Private Banks,2017-03-08
RBL Bank Ltd,59787,35520,95307,249.66,95307,(C) Major Private Banks,2017-03-08
South Indian Bank Ltd,41492,166412,207904,4484.24,65265,(C) Major Private Banks,2017-03-08
Yes Bank Ltd,7785,7572,15357,222.77,14407,(C) Major Private Banks,2017-03-08
Major Private Banks Sub Total,5398563,3610815,9009378,221864.65,8366261,(C) Major Private Banks,2017-03-08
