Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Bank of India,1486421,519078,2005499,2571.18,1932713,(B) Regional Rural Bank,2015-03-18
Bank of Maharashtra,381865,68491,450356,5842.30,450356,(B) Regional Rural Bank,2015-03-18
Canara Bank,462522,317778,780300,15113.15,779254,(B) Regional Rural Bank,2015-03-18
Central Bank of India,2569958,465756,3035714,35112.93,2625434,(B) Regional Rural Bank,2015-03-18
Dena Bank,186773,11078,197851,2353.79,194656,(B) Regional Rural Bank,2015-03-18
Indian Bank,313969,39356,353325,1803.53,277955,(B) Regional Rural Bank,2015-03-18
Indian Overseas Bank,591641,9150,600791,5246.25,119913,(B) Regional Rural Bank,2015-03-18
Jammu & Kashmir Bank Ltd,54309,10202,64511,1248.56,0,(B) Regional Rural Bank,2015-03-18
Punjab & Sind Bank,9815,2291,12106,129.79,11451,(B) Regional Rural Bank,2015-03-18
Punjab National Bank,2011545,315918,2327463,31781.11,561224,(B) Regional Rural Bank,2015-03-18
State Bank of Bikaner & Jaipur,861896,26078,887974,8721.05,862366,(B) Regional Rural Bank,2015-03-18
State Bank of Hyderabad,542006,77732,619738,7760.66,423898,(B) Regional Rural Bank,2015-03-18
State Bank of India,4107064,722357,4829421,27343.20,1785117,(B) Regional Rural Bank,2015-03-18
State Bank of Mysore,271612,79296,350908,1303.96,302480,(B) Regional Rural Bank,2015-03-18
State Bank of Patiala,39092,651,39743,547.37,36359,(B) Regional Rural Bank,2015-03-18
Syndicate Bank,1057310,308596,1365906,15857.01,1278681,(B) Regional Rural Bank,2015-03-18
UCO Bank,514335,12225,526560,5988.57,463499,(B) Regional Rural Bank,2015-03-18
Union Bank of India,444026,110471,554497,3312.32,491233,(B) Regional Rural Bank,2015-03-18
United Bank of India,2816382,52025,2868407,25990.79,2093095,(B) Regional Rural Bank,2015-03-18
Regional Rural Banks Sub Total,21081512,3783680,24865192,218815.83,17529659,(B) Regional Rural Bank,2015-03-18
Axis Bank Ltd,104799,365571,470370,3048.23,446288,(C) Major Private Banks,2015-03-18
City Union Bank Ltd,13366,60626,73992,654.41,0,(C) Major Private Banks,2015-03-18
Federal Bank Ltd,205510,55350,260860,9985.70,253227,(C) Major Private Banks,2015-03-18
HDFC Bank Ltd,211272,991638,1202910,37581.75,1202232,(C) Major Private Banks,2015-03-18
ICICI Bank Ltd,1828540,304434,2132974,15232.31,2104024,(C) Major Private Banks,2015-03-18
IndusInd Bank Ltd,16316,148043,164359,638.49,160251,(C) Major Private Banks,2015-03-18
Jammu & Kashmir Bank Ltd,969246,111350,1080596,12984.22,810055,(C) Major Private Banks,2015-03-18
Karur Vysya Bank,10076,95790,105866,446.92,100666,(C) Major Private Banks,2015-03-18
Kotak Mahindra Bank Ltd,54079,58975,113054,591.47,105287,(C) Major Private Banks,2015-03-18
Lakshmi Vilas Bank Ltd,11135,57262,68397,228.92,48495,(C) Major Private Banks,2015-03-18
RBL Bank Ltd,59787,35520,95307,113.57,95307,(C) Major Private Banks,2015-03-18
South Indian Bank Ltd,17100,85356,102456,829.65,41831,(C) Major Private Banks,2015-03-18
Yes Bank Ltd,6113,4420,10533,49.14,0,(C) Major Private Banks,2015-03-18
Major Private Banks Sub Total,3507339,2374335,5881674,82384.78,5367663,(C) Major Private Banks,2015-03-18
