Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Punjab National Bank,9984767,1990271,11975038,117607.89,9963846,(A) Public Sector Banks,2015-12-02
State Bank of Bikaner & Jaipur,1648203,1644603,3292806,80998.09,2892384,(A) Public Sector Banks,2015-12-02
State Bank of Hyderabad,992192,1799737,2791929,22046.88,2719431,(A) Public Sector Banks,2015-12-02
State Bank of India,20053327,26841687,46895014,330993.86,39673659,(A) Public Sector Banks,2015-12-02
State Bank of Mysore,668250,217371,885621,5915.85,794529,(A) Public Sector Banks,2015-12-02
State Bank of Patiala,425111,781869,1206980,20503.71,1142415,(A) Public Sector Banks,2015-12-02
State Bank of Travancore,44907,392971,437878,8723.05,303979,(A) Public Sector Banks,2015-12-02
Syndicate Bank,2688027,1262896,3950923,68560.07,3514460,(A) Public Sector Banks,2015-12-02
UCO Bank,3155253,3291803,6447056,128928.67,6246675,(A) Public Sector Banks,2015-12-02
Union Bank of India,4402161,1229540,5631701,63438.34,5390858,(A) Public Sector Banks,2015-12-02
United Bank of India,3754327,2484423,6238750,300747.66,4027188,(A) Public Sector Banks,2015-12-02
Vijaya Bank,769460,526518,1295978,10472.19,1294549,(A) Public Sector Banks,2015-12-02
Public Sector Banks Sub Total,83943596,68046053,151989649,2145031.09,134637812,(A) Public Sector Banks,2015-12-02
Allahabad Bank,623336,148934,772270,6664.14,754817,(B) Regional Rural Bank,2015-12-02
Andhra Bank,142377,11831,154208,1158.40,142962,(B) Regional Rural Bank,2015-12-02
Bank of Baroda,2752256,779454,3531710,48080.90,3194056,(B) Regional Rural Bank,2015-12-02
Bank of India,2121291,695857,2817148,13461.16,2654019,(B) Regional Rural Bank,2015-12-02
Bank of Maharashtra,381865,68491,450356,6365.89,450356,(B) Regional Rural Bank,2015-12-02
Canara Bank,528270,365612,893882,21272.81,893882,(B) Regional Rural Bank,2015-12-02
Central Bank of India,3534463,671308,4205771,74348.48,3715671,(B) Regional Rural Bank,2015-12-02
Dena Bank,270700,18511,289211,2730.10,279210,(B) Regional Rural Bank,2015-12-02
Indian Bank,335356,70506,405862,557.91,271887,(B) Regional Rural Bank,2015-12-02
Indian Overseas Bank,846808,9697,856505,12160.42,210289,(B) Regional Rural Bank,2015-12-02
Jammu & Kashmir Bank Ltd,67192,12614,79806,2166.22,0,(B) Regional Rural Bank,2015-12-02
Punjab & Sind Bank,12924,2543,15467,195.45,12100,(B) Regional Rural Bank,2015-12-02
Punjab National Bank,2693237,357049,3050286,50340.17,2038708,(B) Regional Rural Bank,2015-12-02
State Bank of Bikaner & Jaipur,1605625,37012,1642637,20332.18,868824,(B) Regional Rural Bank,2015-12-02
State Bank of Hyderabad,737702,85139,822841,15669.64,508374,(B) Regional Rural Bank,2015-12-02
State Bank of India,5389944,917537,6307481,65794.98,3257315,(B) Regional Rural Bank,2015-12-02
State Bank of Mysore,276606,83602,360208,1424.68,315699,(B) Regional Rural Bank,2015-12-02
State Bank of Patiala,45643,665,46308,937.77,36767,(B) Regional Rural Bank,2015-12-02
Syndicate Bank,1637441,414551,2051992,39831.23,1883147,(B) Regional Rural Bank,2015-12-02
UCO Bank,814227,26188,840415,13018.90,536839,(B) Regional Rural Bank,2015-12-02
Union Bank of India,536597,136988,673585,3537.14,648025,(B) Regional Rural Bank,2015-12-02
United Bank of India,4518685,74133,4592818,68289.45,2381366,(B) Regional Rural Bank,2015-12-02
Regional Rural Banks Sub Total,29872545,4988222,34860767,468338.02,25054313,(B) Regional Rural Bank,2015-12-02
Axis Bank Ltd,120737,435443,556180,6328.58,513986,(C) Major Private Banks,2015-12-02
City Union Bank Ltd,14413,64163,78576,1050.77,59423,(C) Major Private Banks,2015-12-02
Federal Bank Ltd,299346,67506,366852,11630.91,336132,(C) Major Private Banks,2015-12-02
HDFC Bank Ltd,292172,1237389,1529561,48294.95,1528883,(C) Major Private Banks,2015-12-02
ICICI Bank Ltd,2251237,332618,2583855,17100.29,2486543,(C) Major Private Banks,2015-12-02
IndusInd Bank Ltd,24254,236897,261151,1245.16,259601,(C) Major Private Banks,2015-12-02
Jammu & Kashmir Bank Ltd,1123277,120300,1243577,24132.31,810055,(C) Major Private Banks,2015-12-02
Karur Vysya Bank,17468,113434,130902,933.47,121195,(C) Major Private Banks,2015-12-02
Kotak Mahindra Bank Ltd,90292,90773,181065,1329.33,112587,(C) Major Private Banks,2015-12-02
Lakshmi Vilas Bank Ltd,56628,98540,155168,1051.86,48495,(C) Major Private Banks,2015-12-02
RBL Bank Ltd,59787,35520,95307,508.15,95307,(C) Major Private Banks,2015-12-02
South Indian Bank Ltd,17487,86313,103800,1205.81,49892,(C) Major Private Banks,2015-12-02
Yes Bank Ltd,7410,5642,13052,124.84,12864,(C) Major Private Banks,2015-12-02
Major Private Banks Sub Total,4374508,2924538,7299046,114936.43,6434963,(C) Major Private Banks,2015-12-02
