Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
State Bank of Patiala,41909,657,42566,696.38,36682,(B) Regional Rural Bank,2015-06-03
Syndicate Bank,1203938,341618,1545556,25572.85,1403445,(B) Regional Rural Bank,2015-06-03
UCO Bank,610867,16485,627352,7364.33,470499,(B) Regional Rural Bank,2015-06-03
Union Bank of India,466159,111775,577934,3445.98,557291,(B) Regional Rural Bank,2015-06-03
United Bank of India,3178119,58223,3236342,38019.78,2093765,(B) Regional Rural Bank,2015-06-03
Regional Rural Banks Sub Total,24179610,4233681,28413291,311481.62,20783824,(B) Regional Rural Bank,2015-06-03
Axis Bank Ltd,109852,384308,494160,4086.53,464595,(C) Major Private Banks,2015-06-03
City Union Bank Ltd,13842,61978,75820,807.80,8241,(C) Major Private Banks,2015-06-03
Federal Bank Ltd,225285,59115,284400,10467.92,275441,(C) Major Private Banks,2015-06-03
HDFC Bank Ltd,268225,1197353,1465578,48455.11,1464900,(C) Major Private Banks,2015-06-03
ICICI Bank Ltd,1986463,316241,2302704,16204.52,2283649,(C) Major Private Banks,2015-06-03
IndusInd Bank Ltd,18197,180523,198720,754.33,197357,(C) Major Private Banks,2015-06-03
Jammu & Kashmir Bank Ltd,1068164,116909,1185073,16912.22,810055,(C) Major Private Banks,2015-06-03
Karur Vysya Bank,12675,104210,116885,565.10,111930,(C) Major Private Banks,2015-06-03
Kotak Mahindra Bank Ltd,83069,87511,170580,987.69,110888,(C) Major Private Banks,2015-06-03
Lakshmi Vilas Bank Ltd,53761,127201,180962,936.89,48495,(C) Major Private Banks,2015-06-03
RBL Bank Ltd,59787,35520,95307,113.57,95307,(C) Major Private Banks,2015-06-03
South Indian Bank Ltd,17025,84953,101978,933.59,45841,(C) Major Private Banks,2015-06-03
Yes Bank Ltd,6908,5231,12139,80.42,0,(C) Major Private Banks,2015-06-03
Major Private Banks Sub Total,3923253,2761053,6684306,101305.70,5916699,(C) Major Private Banks,2015-06-03
