Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
State Bank of Bikaner & Jaipur,1880648,1819759,3700407,102445.64,3268729,(A) Public Sector Banks,2016-07-06
State Bank of Hyderabad,996688,1810375,2807063,30719.89,2740078,(A) Public Sector Banks,2016-07-06
State Bank of India,24197348,30845622,55042970,519862.45,42778858,(A) Public Sector Banks,2016-07-06
State Bank of Mysore,758984,219195,978179,8867.97,815745,(A) Public Sector Banks,2016-07-06
State Bank of Patiala,426235,783136,1209371,19457.26,1142992,(A) Public Sector Banks,2016-07-06
State Bank of Travancore,70354,626692,697046,13806.97,337453,(A) Public Sector Banks,2016-07-06
Syndicate Bank,2813177,1237449,4050626,84304.72,3663972,(A) Public Sector Banks,2016-07-06
UCO Bank,3682738,3723654,7406392,180961.58,6947627,(A) Public Sector Banks,2016-07-06
Union Bank of India,4486458,1268153,5754611,90719.33,5449488,(A) Public Sector Banks,2016-07-06
United Bank of India,4757005,3111088,7868093,474198.81,4812797,(A) Public Sector Banks,2016-07-06
Vijaya Bank,826101,589804,1415905,14647.19,1395920,(A) Public Sector Banks,2016-07-06
Public Sector Banks Sub Total,98207135,77393791,175600926,3140942.25,146779898,(A) Public Sector Banks,2016-07-06
Allahabad Bank,652990,155923,808913,7984.38,763871,(B) Regional Rural Bank,2016-07-06
Andhra Bank,148200,13307,161507,1750.56,142962,(B) Regional Rural Bank,2016-07-06
Bank of Baroda,3338395,908551,4246946,80337.72,3531055,(B) Regional Rural Bank,2016-07-06
Bank of India,2418832,790328,3209160,30374.55,2654019,(B) Regional Rural Bank,2016-07-06
Bank of Maharashtra,381865,68491,450356,6401.59,450356,(B) Regional Rural Bank,2016-07-06
Canara Bank,573466,394028,967494,21433.33,967494,(B) Regional Rural Bank,2016-07-06
Central Bank of India,3607798,704636,4312434,96657.07,3992103,(B) Regional Rural Bank,2016-07-06
Dena Bank,287951,20794,308745,3331.05,285792,(B) Regional Rural Bank,2016-07-06
Indian Bank,344277,81261,425538,15319.98,345650,(B) Regional Rural Bank,2016-07-06
Indian Overseas Bank,929840,9717,939557,17855.13,616138,(B) Regional Rural Bank,2016-07-06
Jammu & Kashmir Bank Ltd,75406,14518,89924,3199.31,16208,(B) Regional Rural Bank,2016-07-06
Punjab & Sind Bank,14157,2961,17118,288.34,12100,(B) Regional Rural Bank,2016-07-06
Punjab National Bank,2970713,364941,3335654,69631.71,2391919,(B) Regional Rural Bank,2016-07-06
State Bank of Bikaner & Jaipur,1979966,44831,2024797,30522.13,1300304,(B) Regional Rural Bank,2016-07-06
State Bank of Hyderabad,773844,133682,907526,26066.30,508374,(B) Regional Rural Bank,2016-07-06
State Bank of India,6141732,1070080,7211812,112075.38,3775944,(B) Regional Rural Bank,2016-07-06
State Bank of Mysore,278407,84358,362765,1437.47,316573,(B) Regional Rural Bank,2016-07-06
State Bank of Patiala,49020,672,49692,1214.44,36783,(B) Regional Rural Bank,2016-07-06
Syndicate Bank,1844830,446511,2291341,57929.50,2094930,(B) Regional Rural Bank,2016-07-06
UCO Bank,1074832,34228,1109060,19.87,557167,(B) Regional Rural Bank,2016-07-06
Union Bank of India,620820,174391,795211,4003.35,720883,(B) Regional Rural Bank,2016-07-06
United Bank of India,5644944,84191,5729135,115282.15,2416124,(B) Regional Rural Bank,2016-07-06
Regional Rural Banks Sub Total,34152285,5602400,39754685,703115.30,27896749,(B) Regional Rural Bank,2016-07-06
Axis Bank Ltd,126837,462822,589659,8183.49,541920,(C) Major Private Banks,2016-07-06
City Union Bank Ltd,14413,64163,78576,1050.77,69595,(C) Major Private Banks,2016-07-06
Federal Bank Ltd,363461,73201,436662,13911.22,394498,(C) Major Private Banks,2016-07-06
HDFC Bank Ltd,336157,1325694,1661851,66474.50,1661173,(C) Major Private Banks,2016-07-06
ICICI Bank Ltd,2765186,321946,3087132,15424.38,3026237,(C) Major Private Banks,2016-07-06
IndusInd Bank Ltd,37831,333337,371168,2527.31,354900,(C) Major Private Banks,2016-07-06
Jammu & Kashmir Bank Ltd,1186446,124309,1310755,34965.81,1129049,(C) Major Private Banks,2016-07-06
Karur Vysya Bank,20570,132578,153148,1193.06,140538,(C) Major Private Banks,2016-07-06
Kotak Mahindra Bank Ltd,109165,75242,184407,1740.08,36309,(C) Major Private Banks,2016-07-06
Lakshmi Vilas Bank Ltd,59407,104616,164023,1184.74,159248,(C) Major Private Banks,2016-07-06
RBL Bank Ltd,59787,35520,95307,203.16,95307,(C) Major Private Banks,2016-07-06
South Indian Bank Ltd,38495,157388,195883,2834.65,67961,(C) Major Private Banks,2016-07-06
Yes Bank Ltd,7724,5981,13705,138.13,12094,(C) Major Private Banks,2016-07-06
Major Private Banks Sub Total,5125479,3216797,8342276,149831.30,7688829,(C) Major Private Banks,2016-07-06
