Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Punjab National Bank,10242312,2019155,12261467,129257.36,9965275,(A) Public Sector Banks,2015-12-30
State Bank of Bikaner & Jaipur,1685655,1672370,3358025,81991.47,2962180,(A) Public Sector Banks,2015-12-30
State Bank of Hyderabad,993816,1804063,2797879,23451.05,2733936,(A) Public Sector Banks,2015-12-30
State Bank of India,20525999,27340931,47866930,362413.78,40016619,(A) Public Sector Banks,2015-12-30
State Bank of Mysore,670233,217517,887750,6177.38,796347,(A) Public Sector Banks,2015-12-30
State Bank of Patiala,425241,782101,1207342,18117.86,1142489,(A) Public Sector Banks,2015-12-30
State Bank of Travancore,45544,399200,444744,8491.79,304308,(A) Public Sector Banks,2015-12-30
Syndicate Bank,2699580,1265860,3965440,71343.17,3526839,(A) Public Sector Banks,2015-12-30
UCO Bank,3224454,3348310,6572764,134604.09,6377525,(A) Public Sector Banks,2015-12-30
Union Bank of India,4438630,1235228,5673858,66983.81,5419298,(A) Public Sector Banks,2015-12-30
United Bank of India,3934520,2587462,6521982,347410.76,4062070,(A) Public Sector Banks,2015-12-30
Vijaya Bank,772790,528795,1301585,11049.53,1299748,(A) Public Sector Banks,2015-12-30
Public Sector Banks Sub Total,86052376,69321788,155374164,2303485.89,136144105,(A) Public Sector Banks,2015-12-30
Allahabad Bank,634733,151659,786392,6904.40,758925,(B) Regional Rural Bank,2015-12-30
Andhra Bank,142795,12511,155306,1160.43,97488,(B) Regional Rural Bank,2015-12-30
Bank of Baroda,2804692,792071,3596763,51671.27,3366782,(B) Regional Rural Bank,2015-12-30
Bank of India,2155676,708960,2864636,17253.35,2654019,(B) Regional Rural Bank,2015-12-30
Bank of Maharashtra,381865,68491,450356,6367.32,450356,(B) Regional Rural Bank,2015-12-30
Canara Bank,539951,373236,913187,21330.73,913187,(B) Regional Rural Bank,2015-12-30
Central Bank of India,3551227,678698,4229925,77921.41,3869501,(B) Regional Rural Bank,2015-12-30
Dena Bank,273768,18652,292420,2819.60,280460,(B) Regional Rural Bank,2015-12-30
Indian Bank,336403,70938,407341,3070.76,271853,(B) Regional Rural Bank,2015-12-30
Indian Overseas Bank,858308,9696,868004,12966.41,397959,(B) Regional Rural Bank,2015-12-30
Jammu & Kashmir Bank Ltd,68831,12861,81692,2254.48,0,(B) Regional Rural Bank,2015-12-30
Punjab & Sind Bank,13047,2574,15621,200.94,12100,(B) Regional Rural Bank,2015-12-30
Punjab National Bank,2788083,358693,3146776,52657.53,2055953,(B) Regional Rural Bank,2015-12-30
State Bank of Bikaner & Jaipur,1666942,38284,1705226,21353.39,869592,(B) Regional Rural Bank,2015-12-30
State Bank of Hyderabad,760317,85695,846012,19908.85,508374,(B) Regional Rural Bank,2015-12-30
State Bank of India,5485457,938944,6424401,69539.67,3418043,(B) Regional Rural Bank,2015-12-30
State Bank of Mysore,276941,83740,360681,1426.72,315786,(B) Regional Rural Bank,2015-12-30
State Bank of Patiala,45865,665,46530,982.33,36767,(B) Regional Rural Bank,2015-12-30
Syndicate Bank,1644629,416447,2061076,41380.24,1883147,(B) Regional Rural Bank,2015-12-30
UCO Bank,850718,27588,878306,13185.07,536839,(B) Regional Rural Bank,2015-12-30
Union Bank of India,547399,141804,689203,3571.11,659547,(B) Regional Rural Bank,2015-12-30
United Bank of India,4758000,76441,4834441,74640.09,2383362,(B) Regional Rural Bank,2015-12-30
Regional Rural Banks Sub Total,30585647,5068648,35654295,502566.10,25740040,(B) Regional Rural Bank,2015-12-30
Axis Bank Ltd,122008,444508,566516,6566.47,522363,(C) Major Private Banks,2015-12-30
City Union Bank Ltd,14413,64163,78576,1050.77,59423,(C) Major Private Banks,2015-12-30
Federal Bank Ltd,304988,68165,373153,11812.34,340897,(C) Major Private Banks,2015-12-30
HDFC Bank Ltd,293952,1241207,1535159,47654.77,1534481,(C) Major Private Banks,2015-12-30
ICICI Bank Ltd,2252143,333929,2586072,17124.92,2488760,(C) Major Private Banks,2015-12-30
IndusInd Bank Ltd,25576,248734,274310,1355.09,271386,(C) Major Private Banks,2015-12-30
Jammu & Kashmir Bank Ltd,1138148,120763,1258911,25455.51,810055,(C) Major Private Banks,2015-12-30
Karur Vysya Bank,17840,114824,132664,1077.67,121899,(C) Major Private Banks,2015-12-30
Kotak Mahindra Bank Ltd,90875,91005,181880,1441.62,112725,(C) Major Private Banks,2015-12-30
Lakshmi Vilas Bank Ltd,57226,99485,156711,1057.22,146956,(C) Major Private Banks,2015-12-30
RBL Bank Ltd,59787,35520,95307,535.18,95307,(C) Major Private Banks,2015-12-30
South Indian Bank Ltd,17481,86214,103695,1248.70,50045,(C) Major Private Banks,2015-12-30
Yes Bank Ltd,7453,5667,13120,124.00,12932,(C) Major Private Banks,2015-12-30
Major Private Banks Sub Total,4401890,2954184,7356074,116504.26,6567229,(C) Major Private Banks,2015-12-30
