Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
State Bank of Mysore,278108,84238,362346,1433.89,316321,(B) Regional Rural Bank,2016-05-25
State Bank of Patiala,48477,672,49149,1138.92,36782,(B) Regional Rural Bank,2016-05-25
Syndicate Bank,1780757,434097,2214854,56496.96,2052635,(B) Regional Rural Bank,2016-05-25
UCO Bank,1027877,34794,1062671,18794.73,550139,(B) Regional Rural Bank,2016-05-25
Union Bank of India,612861,170793,783654,3913.28,713112,(B) Regional Rural Bank,2016-05-25
United Bank of India,5419725,80614,5500339,102087.46,2411196,(B) Regional Rural Bank,2016-05-25
Regional Rural Banks Sub Total,33362156,5480446,38842602,667126.33,27378788,(B) Regional Rural Bank,2016-05-25
Axis Bank Ltd,126837,462822,589659,8183.49,541920,(C) Major Private Banks,2016-05-25
City Union Bank Ltd,14413,64163,78576,1050.77,69595,(C) Major Private Banks,2016-05-25
Federal Bank Ltd,356339,72443,428782,13753.56,388158,(C) Major Private Banks,2016-05-25
HDFC Bank Ltd,322027,1301780,1623807,60175.91,1623129,(C) Major Private Banks,2016-05-25
ICICI Bank Ltd,2726772,320131,3046903,16557.14,2992484,(C) Major Private Banks,2016-05-25
IndusInd Bank Ltd,36570,304902,341472,1684.32,327016,(C) Major Private Banks,2016-05-25
Jammu & Kashmir Bank Ltd,1175568,123770,1299338,34050.71,1127544,(C) Major Private Banks,2016-05-25
Karur Vysya Bank,19683,129487,149170,1206.45,137617,(C) Major Private Banks,2016-05-25
Kotak Mahindra Bank Ltd,92487,91838,184325,1695.78,113296,(C) Major Private Banks,2016-05-25
Lakshmi Vilas Bank Ltd,58545,103057,161602,1271.45,157966,(C) Major Private Banks,2016-05-25
RBL Bank Ltd,59787,35520,95307,288.68,95307,(C) Major Private Banks,2016-05-25
South Indian Bank Ltd,17329,85648,102977,1463.70,50492,(C) Major Private Banks,2016-05-25
Yes Bank Ltd,7649,5854,13503,128.73,11820,(C) Major Private Banks,2016-05-25
Major Private Banks Sub Total,5014006,3101415,8115421,141510.69,7636344,(C) Major Private Banks,2016-05-25
