Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
State Bank of Patiala,47292,672,47964,1095.42,36777,(B) Regional Rural Bank,2016-03-23
Syndicate Bank,1739186,428204,2167390,52269.58,1976230,(B) Regional Rural Bank,2016-03-23
UCO Bank,965828,31989,997817,17817.75,536839,(B) Regional Rural Bank,2016-03-23
Union Bank of India,588485,160148,748633,3771.06,672615,(B) Regional Rural Bank,2016-03-23
United Bank of India,5237523,82115,5319638,93074.15,2406467,(B) Regional Rural Bank,2016-03-23
Regional Rural Banks Sub Total,32468472,5345141,37813613,613910.97,26808810,(B) Regional Rural Bank,2016-03-23
Axis Bank Ltd,126837,462822,589659,8183.49,541920,(C) Major Private Banks,2016-03-23
City Union Bank Ltd,14413,64163,78576,1050.77,69595,(C) Major Private Banks,2016-03-23
Federal Bank Ltd,346501,71231,417732,13293.30,378860,(C) Major Private Banks,2016-03-23
HDFC Bank Ltd,309479,1279997,1589476,56366.63,1588798,(C) Major Private Banks,2016-03-23
ICICI Bank Ltd,2469467,317506,2786973,14016.14,2765753,(C) Major Private Banks,2016-03-23
IndusInd Bank Ltd,34695,273794,308489,1533.75,271890,(C) Major Private Banks,2016-03-23
Jammu & Kashmir Bank Ltd,1161362,122673,1284035,33247.42,1122710,(C) Major Private Banks,2016-03-23
Karur Vysya Bank,19239,123937,143176,1145.04,123157,(C) Major Private Banks,2016-03-23
Kotak Mahindra Bank Ltd,92360,91671,184031,1598.08,113195,(C) Major Private Banks,2016-03-23
Lakshmi Vilas Bank Ltd,58082,102122,160204,1199.72,156812,(C) Major Private Banks,2016-03-23
RBL Bank Ltd,59787,35520,95307,434.95,95307,(C) Major Private Banks,2016-03-23
South Indian Bank Ltd,17360,85748,103108,1421.27,50464,(C) Major Private Banks,2016-03-23
Yes Bank Ltd,7562,5775,13337,126.26,11820,(C) Major Private Banks,2016-03-23
Major Private Banks Sub Total,4717144,3036959,7754103,133616.83,7290281,(C) Major Private Banks,2016-03-23
