Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks Sub Total,65070940,54669626,119740566,1251399.22,112015782,(A) Public Sector Banks,2015-04-29
Allahabad Bank,551465,119505,670970,4298.71,653965,(B) Regional Rural Bank,2015-04-29
Andhra Bank,136792,9799,146591,806.74,141159,(B) Regional Rural Bank,2015-04-29
Bank of Baroda,1905803,570107,2475910,22643.02,2162914,(B) Regional Rural Bank,2015-04-29
Bank of India,1650380,561644,2212024,4727.57,2159654,(B) Regional Rural Bank,2015-04-29
Bank of Maharashtra,381865,68491,450356,6482.43,450356,(B) Regional Rural Bank,2015-04-29
Canara Bank,468072,321731,789803,18899.06,787507,(B) Regional Rural Bank,2015-04-29
Central Bank of India,2881840,507075,3388915,43577.78,2837841,(B) Regional Rural Bank,2015-04-29
Dena Bank,222740,12017,234757,2496.30,209510,(B) Regional Rural Bank,2015-04-29
Indian Bank,318496,69448,387944,2014.13,279084,(B) Regional Rural Bank,2015-04-29
Indian Overseas Bank,664414,9156,673570,6595.82,162568,(B) Regional Rural Bank,2015-04-29
Jammu & Kashmir Bank Ltd,58216,10998,69214,1453.96,0,(B) Regional Rural Bank,2015-04-29
Punjab & Sind Bank,10396,2487,12883,171.45,11511,(B) Regional Rural Bank,2015-04-29
Punjab National Bank,2180963,328341,2509304,34829.69,839199,(B) Regional Rural Bank,2015-04-29
State Bank of Bikaner & Jaipur,974953,26776,1001729,11533.06,864083,(B) Regional Rural Bank,2015-04-29
State Bank of Hyderabad,590998,77732,668730,9489.88,508374,(B) Regional Rural Bank,2015-04-29
State Bank of India,4403231,752497,5155728,39626.24,2575888,(B) Regional Rural Bank,2015-04-29
State Bank of Mysore,273076,79838,352914,1314.53,307118,(B) Regional Rural Bank,2015-04-29
State Bank of Patiala,40214,657,40871,568.14,36554,(B) Regional Rural Bank,2015-04-29
Syndicate Bank,1166022,333409,1499431,23447.44,1354780,(B) Regional Rural Bank,2015-04-29
UCO Bank,570276,15091,585367,6654.40,470499,(B) Regional Rural Bank,2015-04-29
Union Bank of India,464912,111661,576573,3411.37,554929,(B) Regional Rural Bank,2015-04-29
United Bank of India,3008725,55563,3064288,33206.30,2093497,(B) Regional Rural Bank,2015-04-29
Regional Rural Banks Sub Total,22923849,4044023,26967872,278248.00,19460990,(B) Regional Rural Bank,2015-04-29
Axis Bank Ltd,107817,377737,485554,3513.15,458194,(C) Major Private Banks,2015-04-29
City Union Bank Ltd,13670,61583,75253,712.32,790,(C) Major Private Banks,2015-04-29
Federal Bank Ltd,217743,57226,274969,10158.00,266682,(C) Major Private Banks,2015-04-29
HDFC Bank Ltd,240081,1120337,1360418,41368.80,1359740,(C) Major Private Banks,2015-04-29
ICICI Bank Ltd,1901762,312537,2214299,15174.79,2197620,(C) Major Private Banks,2015-04-29
IndusInd Bank Ltd,17186,163086,180272,643.10,178388,(C) Major Private Banks,2015-04-29
Jammu & Kashmir Bank Ltd,1038069,115419,1153488,15170.92,810055,(C) Major Private Banks,2015-04-29
Karur Vysya Bank,11159,100959,112118,572.48,107804,(C) Major Private Banks,2015-04-29
Kotak Mahindra Bank Ltd,81252,86513,167765,936.56,109328,(C) Major Private Banks,2015-04-29
Lakshmi Vilas Bank Ltd,14153,59714,73867,258.05,48495,(C) Major Private Banks,2015-04-29
RBL Bank Ltd,59787,35520,95307,113.57,95307,(C) Major Private Banks,2015-04-29
South Indian Bank Ltd,17069,85148,102217,902.86,44391,(C) Major Private Banks,2015-04-29
Yes Bank Ltd,6582,4816,11398,67.58,0,(C) Major Private Banks,2015-04-29
Major Private Banks Sub Total,3726330,2580595,6306925,89592.15,5676794,(C) Major Private Banks,2015-04-29
