Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Allahabad Bank,652006,155705,807711,7969.35,763434,(B) Regional Rural Bank,2016-06-01
Andhra Bank,146036,13207,159243,1745.51,97821,(B) Regional Rural Bank,2016-06-01
Bank of Baroda,3248817,888692,4137509,73621.97,3479290,(B) Regional Rural Bank,2016-06-01
Bank of India,2363295,777241,3140536,29655.91,2654019,(B) Regional Rural Bank,2016-06-01
Bank of Maharashtra,381865,68491,450356,6396.14,450356,(B) Regional Rural Bank,2016-06-01
Canara Bank,566099,389377,955476,21414.90,955476,(B) Regional Rural Bank,2016-06-01
Central Bank of India,3594513,700016,4294529,92933.02,3991290,(B) Regional Rural Bank,2016-06-01
Dena Bank,287474,20597,308071,3212.04,285792,(B) Regional Rural Bank,2016-06-01
Indian Bank,341597,80916,422513,3641.07,345650,(B) Regional Rural Bank,2016-06-01
Indian Overseas Bank,886841,9717,896558,16131.31,616138,(B) Regional Rural Bank,2016-06-01
Jammu & Kashmir Bank Ltd,74099,14191,88290,3079.32,15499,(B) Regional Rural Bank,2016-06-01
Punjab & Sind Bank,13674,2752,16426,256.66,12100,(B) Regional Rural Bank,2016-06-01
Punjab National Bank,2964263,366912,3331175,67414.73,2317444,(B) Regional Rural Bank,2016-06-01
State Bank of Bikaner & Jaipur,1926050,43658,1969708,28965.77,1238962,(B) Regional Rural Bank,2016-06-01
State Bank of Hyderabad,773844,133682,907526,26066.30,508374,(B) Regional Rural Bank,2016-06-01
State Bank of India,6050404,1022767,7073171,114804.24,3603884,(B) Regional Rural Bank,2016-06-01
State Bank of Mysore,278147,84259,362406,1434.71,316374,(B) Regional Rural Bank,2016-06-01
State Bank of Patiala,48589,672,49261,1145.45,36782,(B) Regional Rural Bank,2016-06-01
Syndicate Bank,1784569,434840,2219409,56819.35,2052635,(B) Regional Rural Bank,2016-06-01
UCO Bank,1027877,34794,1062671,18794.73,550139,(B) Regional Rural Bank,2016-06-01
Union Bank of India,615866,172180,788046,3939.40,716569,(B) Regional Rural Bank,2016-06-01
United Bank of India,5501287,81490,5582777,106545.16,2412739,(B) Regional Rural Bank,2016-06-01
Regional Rural Banks Sub Total,33527212,5496156,39023368,685987.03,27420767,(B) Regional Rural Bank,2016-06-01
Axis Bank Ltd,126837,462822,589659,8183.49,541920,(C) Major Private Banks,2016-06-01
City Union Bank Ltd,14413,64163,78576,1050.77,69595,(C) Major Private Banks,2016-06-01
Federal Bank Ltd,357016,72486,429502,13890.30,388944,(C) Major Private Banks,2016-06-01
HDFC Bank Ltd,323812,1303991,1627803,60855.18,1627125,(C) Major Private Banks,2016-06-01
ICICI Bank Ltd,2731807,320581,3052388,16629.35,2997969,(C) Major Private Banks,2016-06-01
IndusInd Bank Ltd,36897,316859,353756,0.00,336358,(C) Major Private Banks,2016-06-01
Jammu & Kashmir Bank Ltd,1176882,123858,1300740,34248.54,1127950,(C) Major Private Banks,2016-06-01
Karur Vysya Bank,19761,130008,149769,1202.57,137892,(C) Major Private Banks,2016-06-01
Kotak Mahindra Bank Ltd,109122,75232,184354,1671.63,113327,(C) Major Private Banks,2016-06-01
Lakshmi Vilas Bank Ltd,58624,103146,161770,1225.15,157966,(C) Major Private Banks,2016-06-01
RBL Bank Ltd,59787,35520,95307,272.88,95307,(C) Major Private Banks,2016-06-01
South Indian Bank Ltd,17329,85648,102977,1463.70,50492,(C) Major Private Banks,2016-06-01
Yes Bank Ltd,7656,5864,13520,126.61,11820,(C) Major Private Banks,2016-06-01
Major Private Banks Sub Total,5039943,3100178,8140121,140820.19,7656665,(C) Major Private Banks,2016-06-01
