Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Bank of India,2266718,749742,3016460,25014.96,2654019,(B) Regional Rural Bank,2016-03-09
Bank of Maharashtra,381865,68491,450356,6376.63,450356,(B) Regional Rural Bank,2016-03-09
Canara Bank,546612,377682,924294,21357.89,924294,(B) Regional Rural Bank,2016-03-09
Central Bank of India,3572206,687960,4260166,84710.80,3989340,(B) Regional Rural Bank,2016-03-09
Dena Bank,284902,19818,304720,3029.54,285270,(B) Regional Rural Bank,2016-03-09
Indian Bank,339195,74625,413820,3304.24,345650,(B) Regional Rural Bank,2016-03-09
Indian Overseas Bank,878172,9717,887889,14704.27,616138,(B) Regional Rural Bank,2016-03-09
Jammu & Kashmir Bank Ltd,71651,13478,85129,2632.25,0,(B) Regional Rural Bank,2016-03-09
Punjab & Sind Bank,13267,2613,15880,230.85,12100,(B) Regional Rural Bank,2016-03-09
Punjab National Bank,2926306,360638,3286944,58431.32,2274154,(B) Regional Rural Bank,2016-03-09
State Bank of Bikaner & Jaipur,1806598,41226,1847824,24463.32,871983,(B) Regional Rural Bank,2016-03-09
State Bank of Hyderabad,757391,128625,886016,23962.04,508374,(B) Regional Rural Bank,2016-03-09
State Bank of India,5785532,986857,6772389,86422.32,3583179,(B) Regional Rural Bank,2016-03-09
State Bank of Mysore,277574,84013,361587,1430.03,315811,(B) Regional Rural Bank,2016-03-09
State Bank of Patiala,46887,665,47552,1005.27,36770,(B) Regional Rural Bank,2016-03-09
Syndicate Bank,1702742,423205,2125947,50336.15,1976230,(B) Regional Rural Bank,2016-03-09
UCO Bank,914611,31980,946591,14286.67,536839,(B) Regional Rural Bank,2016-03-09
Union Bank of India,579908,156467,736375,3743.84,671520,(B) Regional Rural Bank,2016-03-09
United Bank of India,5217425,81707,5299132,91588.18,2406072,(B) Regional Rural Bank,2016-03-09
Regional Rural Banks Sub Total,32204636,5311619,37516255,588377.42,26719416,(B) Regional Rural Bank,2016-03-09
Axis Bank Ltd,126837,462822,589659,8183.49,541920,(C) Major Private Banks,2016-03-09
City Union Bank Ltd,14413,64163,78576,1050.77,69595,(C) Major Private Banks,2016-03-09
Federal Bank Ltd,342298,70856,413154,13307.06,374402,(C) Major Private Banks,2016-03-09
HDFC Bank Ltd,306058,1273564,1579622,54347.20,1578944,(C) Major Private Banks,2016-03-09
ICICI Bank Ltd,2347762,316615,2664377,13838.92,2639695,(C) Major Private Banks,2016-03-09
IndusInd Bank Ltd,34072,272367,306439,1827.84,292049,(C) Major Private Banks,2016-03-09
Jammu & Kashmir Bank Ltd,1157323,122298,1279621,28420.38,1121292,(C) Major Private Banks,2016-03-09
Karur Vysya Bank,19037,122030,141067,1033.54,123369,(C) Major Private Banks,2016-03-09
Kotak Mahindra Bank Ltd,92190,91583,183773,1637.60,113087,(C) Major Private Banks,2016-03-09
Lakshmi Vilas Bank Ltd,57965,101822,159787,1139.06,156341,(C) Major Private Banks,2016-03-09
RBL Bank Ltd,59787,35520,95307,489.45,95307,(C) Major Private Banks,2016-03-09
South Indian Bank Ltd,17363,85773,103136,1406.57,50414,(C) Major Private Banks,2016-03-09
Yes Bank Ltd,7538,5760,13298,125.97,11738,(C) Major Private Banks,2016-03-09
Major Private Banks Sub Total,4582643,3025173,7607816,126807.85,7168153,(C) Major Private Banks,2016-03-09
