Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,22088030.0,20609465.0,42697495.0,34272.27,21924436.0,Summary,2014-10-15
Regional Rural Banks,143148.0,47453.0,190601.0,41.82,128335.0,Summary,2014-10-15
Private Sector Banks,587399.0,717318.0,1304717.0,841.28,203361.0,Summary,2014-10-15
Grand Total,22818577.0,21374236.0,44192813.0,35155.37,22256132.0,Summary,2014-10-15
Andhra Bank,671013.0,485148.0,1156161.0,366.05,1012478.0,(A) Public Sector Banks,2014-10-15
Bank of Baroda,1296704.0,2007609.0,3304313.0,792.41,2684634.0,(A) Public Sector Banks,2014-10-15
Bank of India,1072906.0,1625680.0,2698586.0,754.57,1719413.0,(A) Public Sector Banks,2014-10-15
Bank of Maharashtra,688304.0,352567.0,1040871.0,544.19,218650.0,(A) Public Sector Banks,2014-10-15
Canara Bank,2065385.0,1069678.0,3135063.0,807.53,151798.0,(A) Public Sector Banks,2014-10-15
Central Bank of India,2215911.0,753522.0,2969433.0,2169.74,1112013.0,(A) Public Sector Banks,2014-10-15
Corporation Bank,538282.0,501695.0,1039977.0,0.0,506181.0,(A) Public Sector Banks,2014-10-15
Dena Bank,671540.0,433475.0,1105015.0,774.38,560673.0,(A) Public Sector Banks,2014-10-15
IDBI Bank Ltd.,251454.0,252713.0,504167.0,312.45,173091.0,(A) Public Sector Banks,2014-10-15
Indian Bank,986649.0,622057.0,1608706.0,673.63,1595782.0,(A) Public Sector Banks,2014-10-15
Indian Overseas Bank,469640.0,1008302.0,1477942.0,481.68,732843.0,(A) Public Sector Banks,2014-10-15
Oriental Bank of Commerce,731758.0,541935.0,1273693.0,2577.28,509214.0,(A) Public Sector Banks,2014-10-15
Punjab & Sind Bank,447598.0,272882.0,720480.0,973.76,533851.0,(A) Public Sector Banks,2014-10-15
State Bank of Hyderabad,409699.0,907740.0,1317439.0,246.9,582636.0,(A) Public Sector Banks,2014-10-15
State Bank of India,4108487.0,5894424.0,10002911.0,2302.35,4364380.0,(A) Public Sector Banks,2014-10-15
State Bank of Mysore,354264.0,119991.0,474255.0,229.87,338687.0,(A) Public Sector Banks,2014-10-15
State Bank of Patiala,265890.0,526273.0,792163.0,526.92,552222.0,(A) Public Sector Banks,2014-10-15
State Bank of Travancore,26285.0,239474.0,265759.0,16480.64,48829.0,(A) Public Sector Banks,2014-10-15
Syndicate Bank,1278161.0,743003.0,2021164.0,7.67,728509.0,(A) Public Sector Banks,2014-10-15
UCO Bank,893439.0,938159.0,1831598.0,1469.03,781653.0,(A) Public Sector Banks,2014-10-15
Union Bank of India,1410974.0,370630.0,1781604.0,336.23,1489119.0,(A) Public Sector Banks,2014-10-15
United Bank of India,907508.0,658337.0,1565845.0,1170.37,1020015.0,(A) Public Sector Banks,2014-10-15
Vijaya Bank,326179.0,284171.0,610350.0,274.62,507765.0,(A) Public Sector Banks,2014-10-15
Public Sector Banks Sub Total,22088030.0,20609465.0,42697495.0,34272.27,21924436.0,(A) Public Sector Banks,2014-10-15
State Bank of Mysore,115257.0,46927.0,162184.0,0.0,127321.0,(B) Regional Rural Bank,2014-10-15
State Bank of Patiala,27891.0,526.0,28417.0,41.82,1014.0,(B) Regional Rural Bank,2014-10-15
Regional Rural Banks Sub Total,143148.0,47453.0,190601.0,41.82,128335.0,(B) Regional Rural Bank,2014-10-15
